id	keyword	distribution	width	height	frames	duration_ms	bytes	sha256
play-core-pillow	打闹	bundled	240	240	16	1600	169937	c3792c48b79c5db05eb2520766849842a4fa7529bf0e67dcacf3945e580aac6b
play-cat-paw	打闹	bundled	240	240	16	1600	213755	abd07e6d3cf535fcfdaf71d9d37245f12c83c37a03789e23865fb3fc723592d4
play-person-pillow	打闹	bundled	240	240	16	1600	205457	e5085112baa7e734bdc8fb7bbc3630de6815246a2a485bcf9de54890c74bda43
play-clay-mitten	打闹	bundled	240	240	16	1600	191940	99b395fb5e84a11572a83c106f4b311e52f684657a76cc56c0255707458758c3
chase-core-run	追赶	bundled	240	240	16	1600	188624	d83a763b301f5cc1649372a145738af08b25a69d0197118ffe03f85758cd92b7
chase-dog-run	追赶	bundled	240	240	16	1600	209433	4e2502edd4fcd69a93f386076c06fa0ac3083947dd98a3a3ffdb36a81763ba7a
chase-person-run	追赶	bundled	240	240	16	1600	159930	763744d0d374a8262b5e42a796fe59ef332753f1a351796d530c7f730f198c90
chase-plush-bird	追赶	bundled	240	240	16	1600	180386	622af9cd1ffdab9d371da1db482cdeea860731ab1ad0849147aecca17d29eb07
